run_dir,run_name,method,held_out_ur,eval_ur,metric,value
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,5.0,Force rollout NRMSE,0.04163808
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,5.0,Force mapping NRMSE,0.02297884
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,6.0,Disp rollout NRMSE,0.02555859
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,6.0,Force rollout NRMSE,0.04097358
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,6.0,Force mapping NRMSE,0.01628741
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,7.0,Disp rollout NRMSE,0.0277571
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,7.0,Force rollout NRMSE,0.03387437
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,7.0,Force mapping NRMSE,0.006984572
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,8.0,Disp rollout NRMSE,0.02934391
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,8.0,Force rollout NRMSE,0.03326675
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,8.0,Force mapping NRMSE,0.004366752
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,9.0,Disp rollout NRMSE,0.03655712
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,9.0,Force rollout NRMSE,0.03986617
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,9.0,Force mapping NRMSE,0.003625598
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,10.0,Disp rollout NRMSE,0.04481867
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,10.0,Force rollout NRMSE,0.0479093
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur1_0211-132307,phnnSS2_Ur1_0211-132307,phnn,1.0,10.0,Force mapping NRMSE,0.003195234
